"SourceListURL","TargetListURL","ListTitle","SourceItemCount","TargetItemCount","ItemStatus"
"http://eclipsedm.willis.com/2019/07/01","https://euteamsites.willistowerswatson.com/Sites/EclipseDM201907/01","01","5054","5054","Same"
"http://eclipsedm.willis.com/2019/07/02","https://euteamsites.willistowerswatson.com/Sites/EclipseDM201907/02","02","4267","4267","Same"
"http://eclipsedm.willis.com/2019/07/03","https://euteamsites.willistowerswatson.com/Sites/EclipseDM201907/03","03","4466","4466","Same"
"http://eclipsedm.willis.com/2019/07/04","https://euteamsites.willistowerswatson.com/Sites/EclipseDM201907/04","04","4205","4205","Same"
"http://eclipsedm.willis.com/2019/07/05","https://euteamsites.willistowerswatson.com/Sites/EclipseDM201907/05","05","4311","4311","Same"
"http://eclipsedm.willis.com/2019/07/06","https://euteamsites.willistowerswatson.com/Sites/EclipseDM201907/06","06","120","120","Same"
"http://eclipsedm.willis.com/2019/07/07","https://euteamsites.willistowerswatson.com/Sites/EclipseDM201907/07","07","31","31","Same"
"http://eclipsedm.willis.com/2019/07/08","https://euteamsites.willistowerswatson.com/Sites/EclipseDM201907/08","08","3307","3307","Same"
"http://eclipsedm.willis.com/2019/07/09","https://euteamsites.willistowerswatson.com/Sites/EclipseDM201907/09","09","4720","4720","Same"
"http://eclipsedm.willis.com/2019/07/10","https://euteamsites.willistowerswatson.com/Sites/EclipseDM201907/10","10","3974","3974","Same"
"http://eclipsedm.willis.com/2019/07/11","https://euteamsites.willistowerswatson.com/Sites/EclipseDM201907/11","11","5407","5407","Same"
"http://eclipsedm.willis.com/2019/07/12","https://euteamsites.willistowerswatson.com/Sites/EclipseDM201907/12","12","4272","4272","Same"
"http://eclipsedm.willis.com/2019/07/13","https://euteamsites.willistowerswatson.com/Sites/EclipseDM201907/13","13","59","59","Same"
"http://eclipsedm.willis.com/2019/07/14","https://euteamsites.willistowerswatson.com/Sites/EclipseDM201907/14","14","65","65","Same"
"http://eclipsedm.willis.com/2019/07/15","https://euteamsites.willistowerswatson.com/Sites/EclipseDM201907/15","15","4074","4074","Same"
"http://eclipsedm.willis.com/2019/07/16","https://euteamsites.willistowerswatson.com/Sites/EclipseDM201907/16","16","4594","4594","Same"
"http://eclipsedm.willis.com/2019/07/17","https://euteamsites.willistowerswatson.com/Sites/EclipseDM201907/17","17","4382","4382","Same"
"http://eclipsedm.willis.com/2019/07/18","https://euteamsites.willistowerswatson.com/Sites/EclipseDM201907/18","18","3719","3719","Same"
"http://eclipsedm.willis.com/2019/07/19","https://euteamsites.willistowerswatson.com/Sites/EclipseDM201907/19","19","3805","3805","Same"
"http://eclipsedm.willis.com/2019/07/20","https://euteamsites.willistowerswatson.com/Sites/EclipseDM201907/20","20","88","88","Same"
"http://eclipsedm.willis.com/2019/07/21","https://euteamsites.willistowerswatson.com/Sites/EclipseDM201907/21","21","24","24","Same"
"http://eclipsedm.willis.com/2019/07/22","https://euteamsites.willistowerswatson.com/Sites/EclipseDM201907/22","22","4107","4107","Same"
"http://eclipsedm.willis.com/2019/07/23","https://euteamsites.willistowerswatson.com/Sites/EclipseDM201907/23","23","4341","4341","Same"
"http://eclipsedm.willis.com/2019/07/24","https://euteamsites.willistowerswatson.com/Sites/EclipseDM201907/24","24","4157","4157","Same"
"http://eclipsedm.willis.com/2019/07/25","https://euteamsites.willistowerswatson.com/Sites/EclipseDM201907/25","25","3882","3882","Same"
"http://eclipsedm.willis.com/2019/07/26","https://euteamsites.willistowerswatson.com/Sites/EclipseDM201907/26","26","3408","3408","Same"
"http://eclipsedm.willis.com/2019/07/27","https://euteamsites.willistowerswatson.com/Sites/EclipseDM201907/27","27","87","87","Same"
"http://eclipsedm.willis.com/2019/07/28","https://euteamsites.willistowerswatson.com/Sites/EclipseDM201907/28","28","50","50","Same"
"http://eclipsedm.willis.com/2019/07/29","https://euteamsites.willistowerswatson.com/Sites/EclipseDM201907/29","29","3379","3379","Same"
"http://eclipsedm.willis.com/2019/07/30","https://euteamsites.willistowerswatson.com/Sites/EclipseDM201907/30","30","4567","4567","Same"
"http://eclipsedm.willis.com/2019/07/31","https://euteamsites.willistowerswatson.com/Sites/EclipseDM201907/31","31","5857","5857","Same"
"http://eclipsedm.willis.com/2019/07/SiteCollectionDocuments","https://euteamsites.willistowerswatson.com/Sites/EclipseDM201907/SiteCollectionDocuments","Site Collection Documents","0","0","Same"
"http://eclipsedm.willis.com/2019/07/Lists/Tasks","https://euteamsites.willistowerswatson.com/Sites/EclipseDM201907/Lists/Tasks","Tasks","0","0","Same"
